InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,TotalPrice,PaymentMethod,StoreID,ProductCategory,EmployeeID,PromotionCode
TKTLRJ,OHLLV,XSZFWUTWVVPFXNAUBFNC,594,05/23/2023 17:27,49.79,10581.0,France,0.44,443.88,Credit Card,Store_B,Category_A,TYAAD,CXCUD
,BKULC,SMUMRBIFSCHELSPSYXQQ,485,09/21/2023 14:48,82.18,,Netherlands,0.44,66.89,Online,Store_A,Category_C,SEWAW,MIKEB
YQNCEG,DYNPQ,UNCHJRYUBOBKZBVWMXIZ,634,06/29/2023 05:15,49.33,11424.0,Netherlands,0.18,120.55,Online,Store_B,Category_A,PYCKW,
MCUNDA,QWPZA,FAUQZTXLSDEWRZJWLNVO,905,05/23/2023 16:51,71.99,,United Kingdom,0.2,113.4,Online,Store_A,Category_B,YKLCL,XIBCO
AYHZAC,VJIRT,LQLBHLRIKRLDAMUSBJAY,740,06/20/2023 15:06,73.39,12861.0,United Kingdom,0.15,479.5,Cash,Store_B,Category_A,MTDKM,JFXQR
RJVLLE,LYAWY,YNLLLIHIEXUCDBQTBATX,673,03/03/2023 10:41,28.4,18593.0,Netherlands,0.24,359.82,Cash,Store_C,Category_C,GEMXH,RDEOP
ZWCALZ,FIADU,DMUECQDCNMEOEUXKCOZK,-2,07/04/2023 09:53,63.41,19836.0,United Kingdom,0.41,45.14,Online,Store_A,Category_A,JSEKF,KSFTE
JGQBBH,XZVZY,HBDVIHLCFUFPQDKPEHPD,982,05/13/2023 00:08,27.96,14408.0,France,0.24,199.02,Online,Store_B,Category_C,DDITW,RCEMP
JVXHQF,SGCOL,BGCFGHPZDKLYYLCJIEIP,442,04/23/2023 06:16,90.79,10131.0,France,0.32,333.45,Online,Store_B,Category_C,EIGOA,ZIFPX
VLQKAT,SNATM,AUDYGKSQLVQNGIQJDGEA,266,07/07/2023 05:18,89.53,19473.0,United Kingdom,0.14,466.19,Online,Store_C,Category_A,XATWY,GOLEI
YOGAUW,CXMEL,INPCIPZSJGPLVLXDTVLZ,673,03/05/2023 23:57,43.8,10317.0,United Kingdom,0.16,469.56,Online,Store_C,Category_A,EPBDT,CDFDH
SPUIUW,BGDFS,REUHVQCLKHZMDCCFROYK,743,12/26/2023 11:17,461.26,19827.0,Belgium,0.38,249.36,Credit Card,Store_B,Category_C,VNYHE,QOZEY
YJUUUY,YDVDF,PZHCBURWMNHXNAXGHQRT,585,06/16/2023 06:57,38.02,17723.0,Belgium,0.28,81.83,Credit Card,Store_A,Category_A,,USWLZ
JJUDBX,HLZNU,JWKOVLCEYXIHWGTYPLQY,36,07/16/2023 18:42,60.83,19375.0,Germany,0.01,295.56,Credit Card,Store_A,Category_A,QNZAZ,CEURC
BPXFLL,UEVCU,HKSPMDCOVFKLPWPOYSYV,293,07/27/2023 11:09,85.94,11739.0,Germany,0.04,248.51,Credit Card,Store_C,Category_A,,FDBZO
HYDNBH,BAMVL,QZRAHXKIGYVCYUUGTWHH,172,11/16/2023 03:22,43.47,11449.0,France,0.39,230.94,Online,Store_C,Category_B,HKTXY,ZUHTX
,NNXKT,,669,09/29/2023 10:27,69.69,10822.0,Belgium,0.49,27.02,Cash,Store_C,Category_B,MSVTJ,NQXHE
NKEBGL,PTMQH,YEPKLJGAABWVZDJXCNJT,448,02/06/2023 22:37,85.58,12728.0,United Kingdom,0.15,323.37,Credit Card,Store_A,Category_B,VZDAT,DEHPS
LCEQWQ,WYUGF,JMJOZOOJNIPGADCDETJX,807,05/14/2023 12:13,93.59,18976.0,Netherlands,0.3,144.96,Online,Store_C,Category_C,SWMIW,RPVJJ
CGUBTI,JDPIQ,TYAMYIUSGUXGVWQOZGFO,753,06/24/2023 09:30,6.77,11668.0,United Kingdom,0.03,134.44,Online,Store_C,Category_B,LQPXO,BSCFQ
FWWUUZ,OZIDF,TQGWNVKHAUKDIYBPPVMD,914,12/12/2023 11:22,8.15,16116.0,Germany,0.21,236.45,Credit Card,Store_A,Category_C,TRBCP,
IHZNWI,CACCK,PIEOSITDLFZANRFJNDKE,76,02/20/2023 01:51,67.67,11850.0,Germany,0.28,409.11,Online,Store_C,Category_A,IPFJC,EJALE
EHCRPB,FBXXT,DKIMIYEDDPUURBKHSLPH,937,06/09/2023 02:22,60.03,13499.0,Belgium,0.36,498.79,Credit Card,Store_A,Category_A,MHPVF,HRIHB
KURYSL,HXQGK,IWCAMGHPUZOSTZMYXCMK,182,03/10/2023 10:26,29.73,,Germany,0.23,137.28,Online,Store_B,Category_A,UDHXQ,CAPYH
FUSLMX,EZFIZ,OBJMLPELILQXTJUYSWON,3176,05/01/2023 02:15,87.21,18920.0,Germany,0.49,214.07,Credit Card,Store_B,Category_B,QKHUR,AOVMA
OVZABB,FQMVY,EGJQWFVJHPUXHJYJGSDD,75,10/16/2023 03:37,42.93,13923.0,Netherlands,0.22,480.64,Credit Card,Store_B,Category_A,DYGAK,KHRZK
DGFIWB,NVXAM,NAYPCMWTALEZXYFEIWHM,845,12/12/2023 06:32,51.33,17176.0,Netherlands,0.2,39.51,Credit Card,Store_A,Category_A,FGWDC,DNVNB
BBONTF,YXOVE,LKMNEKUNPIHWWDRBNNQF,86,01/26/2023 09:20,20.23,,United Kingdom,0.33,216.38,Cash,Store_A,Category_B,RQNXY,BMQSD
,CGPTV,COAXCXQMNJQLJVYKNUFR,321,12/11/2023 18:36,96.31,,Netherlands,0.44,421.51,Online,Store_B,Category_B,,VVHZN
VDOXFU,NZJIA,NWGPXWRIRUCFCDNSSPAP,67,01/22/2023 00:31,27.78,17163.0,Belgium,0.03,354.82,Credit Card,Store_A,Category_A,TPFQA,ZLUVX
WYTJCB,OGKZP,HOAQPYEQBSNQUNENNDKD,211,05/11/2023 15:56,838.31,17186.0,Belgium,0.07,494.56,Credit Card,Store_C,Category_B,HSJCZ,XARGK
RTUOGB,ZEHZF,CELGKLEQVCJSKRYNRXMB,205,09/10/2023 23:35,85.89,15528.0,France,0.22,352.31,Online,Store_B,Category_B,PCAAC,TCQUP
IZTUNR,WXYTH,EIERDQGNWBQXUGINNSIW,341,02/28/2023 19:33,46.35,11805.0,Germany,0.39,258.99,Online,Store_A,Category_B,NEDLF,CBLFH
VJRJRQ,QEYML,YUDSWJYKNJSZNRVLBHWS,534,01/11/2023 18:58,64.13,19542.0,France,0.34,356.71,Cash,Store_C,Category_B,CUCVH,JVOMM
CKHLWB,CVYOT,URWNIAUMSLLADGUKQRDR,70,02/03/2023 23:39,70.73,12817.0,Belgium,0.28,5.72,Credit Card,Store_B,Category_A,RYADJ,PRADQ
YEZSZR,QTVXB,BMYTCNICRLAPZINVNEAL,197,03/10/2023 03:46,14.4,11388.0,United Kingdom,0.13,470.66,Cash,Store_B,Category_A,MNCDD,THOEF
VBKTYV,FSHWA,SKDZCIXZEEYIYMUKDYJM,760,03/01/2023 06:21,36.55,17747.0,Germany,0.22,400.46,Cash,Store_A,Category_C,KKDCG,NXNIT
XSFVTH,IFMZU,EEMFWSHPKAVHAPTVXKJZ,989,01/18/2023 19:13,31.17,10441.0,United Kingdom,0.14,266.58,Online,Store_A,Category_C,CDPOA,ORMJV
PNYVYX,QGMWP,GIXGMNJWYHLVKAYRNIEA,846,06/21/2023 07:58,80.25,13375.0,United Kingdom,0.11,389.99,Credit Card,Store_C,Category_B,MJVSU,LTODT
XLOJFL,XWHRR,SCYXZJEJRHMTFZDWKNGH,560,10/31/2023 00:36,12.99,17994.0,Belgium,0.01,194.77,Online,Store_B,Category_B,AHLTT,AJPPI
ZSQUST,VJNNA,,103,05/04/2023 14:41,28.91,16795.0,France,0.41,43.32,Online,Store_A,Category_B,USXHQ,PJSDV
GIMRZT,CCGXA,CBHKVWFTTNTLXPMXVDOW,610,03/10/2023 12:46,21.28,11938.0,Germany,0.1,125.08,Online,Store_B,Category_C,,BVANT
BIFKUX,TOYLJ,JDTYSBDMQWMMKPDNMFLB,177,01/05/2023 12:04,4.15,12954.0,Belgium,0.2,27.84,Cash,Store_A,Category_C,EUSCN,NAWPZ
TJLYEX,IEZZT,VMYEICGDDQSSXHVVLDGN,120,01/27/2023 07:33,3.29,,France,0.26,460.21,Online,Store_A,Category_C,,CPOXR
WSMFIN,QBKIN,EZVXXMYWQKQDHCHKODVL,425,02/14/2023 08:23,62.65,18014.0,United Kingdom,0.17,70.9,Cash,Store_B,Category_B,HUKNQ,BDVRT
HADWFW,YXWQI,REVHXFYIXADUBYHRPOPS,809,07/01/2023 09:52,41.41,13916.0,Belgium,0.23,61.17,Online,Store_B,Category_C,VCUOB,HYIAR
OZOMLJ,BLOQU,PGIMRHLHQTVHEUEORCKZ,259,10/22/2023 20:01,48.12,12242.0,France,0.0,90.37,Credit Card,Store_C,Category_A,,QKKVX
MQANOE,TCDNU,JWRIZHABADKRYWZVKIAO,538,04/18/2023 12:34,9.67,17293.0,Germany,0.26,214.67,Cash,Store_A,Category_A,WVPZU,MFGNL
NLDMZU,BBUNL,LXONFTGIQVGJDSUAWRTV,261,03/04/2023 12:44,92.72,16368.0,Belgium,0.11,250.51,Cash,Store_A,Category_A,EKUNA,NNZHK
VGAUGZ,ZBZYL,XYEZNNAJZHEFLJRICFVK,336,07/02/2023 17:05,80.27,16408.0,United Kingdom,0.24,403.7,Cash,Store_B,Category_B,UMILB,RTESJ
ZXGDDT,YUNNP,KPVJNGSHUFHYMQEOYSGR,941,01/07/2023 06:40,16.32,16290.0,Netherlands,0.02,409.53,Cash,Store_B,Category_A,,ZWLWP
AFYRAT,LJHII,YACLAWCYZQSCCUGXRGHK,726,11/25/2023 23:52,71.71,19008.0,Netherlands,0.46,346.89,Online,Store_C,Category_A,GGFTZ,WWPQR
OOZFME,YIQKO,,889,09/04/2023 12:49,41.31,16195.0,United Kingdom,0.09,496.29,Online,Store_A,Category_B,,MWMBV
ERABCD,NWUHO,FINOVXOBJQRSAAMAYFBE,667,03/15/2023 02:56,71.54,,France,0.38,377.48,Online,Store_A,Category_A,ISHUN,ZZRSP
TWEPCW,MJRWB,ZRVSPIPXUMBAGHFJNPZN,349,03/14/2023 02:08,62.07,10953.0,Netherlands,0.05,185.08,Credit Card,Store_A,Category_B,,FMLZA
WWHLMO,BLTPX,MUEIYVJHDJNWDPQNYBHP,722,01/21/2023 17:34,54.62,15841.0,Germany,0.08,72.91,Cash,Store_C,Category_B,NEMBV,NDXQL
ZWBHJM,DJHWG,NMOSOTWJSFFCUITNHUVX,736,12/30/2023 08:18,88.27,13178.0,Netherlands,0.17,407.13,Online,Store_A,Category_B,GCBDL,TILMF
JCLKIL,WHFGB,HPBNWWAOOFLKRNZIZUBO,62,10/08/2023 01:32,65.57,15749.0,Belgium,0.42,78.16,Online,Store_C,Category_B,PTFFZ,HGUJN
CAEVDL,PKXWV,KOMNAOAPDEGYLYXZBPMX,577,03/30/2023 10:51,44.98,13915.0,United Kingdom,0.31,253.65,Cash,Store_C,Category_A,FFIOB,AACVS
YCSBKV,NGRTX,PKFZFESLEYDNHYCQFNUP,205,06/17/2023 17:32,38.6,14743.0,Belgium,0.1,258.97,Credit Card,Store_C,Category_B,PXJGR,BRWIX
XFFAYK,NITCC,,222,01/04/2023 04:05,76.64,16083.0,Belgium,0.5,364.53,Online,Store_C,Category_C,VXVCO,VGKTT
JYBBBP,,BBZLSWAKBMAFBVXNCZVM,987,07/19/2023 11:14,91.22,19481.0,Germany,0.37,438.93,Online,Store_A,Category_C,KVRWK,VQEXO
XDNKYD,TNSQI,GSRYZDRKYGXMOUVMIKAS,178,10/24/2023 06:23,68.78,12344.0,United Kingdom,0.42,14.28,Credit Card,Store_B,Category_B,,ZOOVA
SZIRXF,VEXBR,ZGQSYMRKGBWXVEUZLZRT,49,10/28/2023 08:15,99.59,11263.0,Netherlands,0.13,224.83,Credit Card,Store_A,Category_A,,ZPKXB
UKEIWM,PHBPO,OUGVZFOGGYHIUWQZCRVC,442,06/30/2023 05:03,72.35,11794.0,Netherlands,0.19,311.31,Online,Store_A,Category_A,WBJGA,SDMEL
BVGFBB,,SDTODYGXMFIOJXZPNBZA,361,08/25/2023 20:37,80.98,17392.0,Belgium,0.17,24.89,Credit Card,Store_C,Category_A,NOWJN,PEBFU
IPUSCB,YCOAI,NHPWFXDSRRXPIEYIORRH,4322,09/22/2023 17:30,14.04,18678.0,Netherlands,0.43,499.9,Online,Store_B,Category_C,RPQSH,LJSAH
WVOWIA,DCNOL,,15,09/05/2023 15:32,18.42,11294.0,United Kingdom,0.09,438.23,Credit Card,Store_B,Category_B,KZDCL,JWIEZ
OGCUBE,LNHOW,XFZKGVOOPANNJPJYDUMV,928,02/12/2023 00:37,8.44,18595.0,Netherlands,0.12,198.69,Online,Store_C,Category_C,,VGEOU
UDBMIL,AAZAG,RKUWCTCPCGQGWRGDPWUA,46,10/19/2023 13:55,35.18,11759.0,Belgium,0.11,463.52,Credit Card,Store_A,Category_B,VCEZV,IROYB
DXJSYA,ZQARO,MOGSASRWSZAPCEJTZBNC,942,02/02/2023 02:34,45.29,19604.0,France,0.43,335.48,Cash,Store_B,Category_C,VTCNB,BEFGI
PEJANZ,HWZEX,TMLJKFEMKMLKTDTTGPMT,952,12/17/2023 10:12,58.53,15273.0,Belgium,0.32,279.19,Credit Card,Store_A,Category_C,JRZPD,BKANJ
LEBKZA,JJEEP,UMVQLIDWWCCFIDXISXXS,650,07/12/2023 09:13,65.72,10808.0,Belgium,0.27,233.38,Online,Store_C,Category_A,LCGYR,FITHY
AZGAZA,,MXUKXNUVKTQVFCACKFXU,691,03/21/2023 03:29,80.66,13004.0,Netherlands,0.29,391.59,Cash,Store_B,Category_C,QIMIE,SKNIJ
MLVAMH,OSUWU,TCYNBOBBAGPTFNIIUOWL,872,03/14/2023 08:43,8.89,13926.0,Netherlands,0.31,442.79,Cash,Store_B,Category_B,JTMYG,LPFHB
VTLGTE,BNWAR,PIYIDWSLBJOISQNVOQPW,72,03/30/2023 14:59,77.6,17063.0,Germany,0.19,459.73,Online,Store_C,Category_C,MIJGW,BOEIT
,THZSH,DRADRLCCWEMOOSCSONMH,78,09/19/2023 23:12,79.84,14734.0,Germany,0.46,156.63,Online,Store_C,Category_B,CDMTL,JYPNV
UJEGVQ,HBJQU,MDOTERSTMSOJXMWTTMHT,621,06/12/2023 17:59,89.44,15273.0,Netherlands,0.31,220.47,Online,Store_C,Category_A,VFESM,LCQHF
,OHKDO,LFMJSMVETRWAUYTAURUY,400,03/22/2023 20:07,43.67,10162.0,Belgium,0.17,63.96,Cash,Store_C,Category_A,SHDYP,
SSEKWT,ZBLTQ,LHNLZXCBIRAZVNDXCUNG,337,10/22/2023 03:53,36.98,11382.0,Germany,0.32,369.96,Online,Store_B,Category_B,OBTGA,DMSZZ
VHDXZR,,OOQVMQUHORLBJVQVDNWP,406,02/27/2023 21:02,81.27,11934.0,United Kingdom,0.38,484.75,Credit Card,Store_B,Category_C,HNAIW,WANKQ
YHFARN,CDCBY,XRJWFHYZCNPSYCVWVABX,915,03/24/2023 11:57,56.86,18376.0,United Kingdom,0.18,221.78,Online,Store_B,Category_C,IEJQK,XBVPZ
KBBHCA,DTTFL,UWCVOGDGLYLLEOZURYHQ,828,04/28/2023 20:25,66.96,16080.0,Germany,0.49,18.05,Cash,Store_A,Category_A,ILMVB,JEOLB
,GYMQU,YJPIHCALAQRWQFGQIRDB,676,07/19/2023 16:49,45.05,15334.0,France,0.01,50.77,Online,Store_A,Category_C,,
KISSRR,HSAEN,,778,01/01/2023 08:02,78.08,18085.0,France,0.35,179.32,Online,Store_A,Category_A,JNKIA,DTNLS
ZWCGOA,RRIID,NJLBCFOPEWTVAYXDVYGN,696,11/28/2023 23:35,76.97,16267.0,France,0.04,1.93,Credit Card,Store_B,Category_A,MUYQH,INFDC
SCQJOO,NNIRW,NFYMEKXHTYSOYLWBJBTD,831,03/12/2023 01:37,53.15,18035.0,United Kingdom,0.05,116.99,Online,Store_B,Category_B,WQVFD,UNCNM
,HFRVJ,QCMEEIDQTKCEAKHCPCIF,116,04/21/2023 08:17,18.07,11389.0,United Kingdom,0.04,47.18,Online,Store_C,Category_A,JPMPE,XSQGD
UMPDBL,ZWKFN,BORVXDKCSHSNHBTNANAG,205,07/05/2023 16:43,39.08,10665.0,France,0.13,369.76,Cash,Store_B,Category_C,MHVGE,SJWEG
AGYABP,WWGOR,FWWLMUMBASDZZNVBKSJD,262,10/12/2023 01:31,49.2,10794.0,United Kingdom,0.45,373.05,Online,Store_A,Category_B,,NMPHJ
JVDGIN,,GIXKOHBQAEYETSBIWEPE,457,04/08/2023 16:57,30.5,11741.0,Netherlands,0.45,454.87,Cash,Store_A,Category_A,MPFRS,TEXWY
YMCVVZ,YRSIU,OHSAYWZKMVHXWOOYBOGJ,924,08/09/2023 17:17,57.78,19323.0,United Kingdom,0.18,35.66,Online,Store_B,Category_C,JZTHG,RKPUA
QVMDHG,AMPMJ,QDXUXPNUEJSKMNQMVZIN,670,12/20/2023 15:15,39.7,18202.0,Germany,0.26,153.73,Cash,Store_A,Category_C,FBJIX,PJHJN
XHHJAU,AAVNA,AMPHVEIVUUCAJBVVDTBR,515,09/30/2023 18:48,4.28,19042.0,Netherlands,0.47,376.06,Cash,Store_B,Category_B,,IVOSM
KQAWTZ,,,995,11/19/2023 20:01,40.42,18865.0,United Kingdom,0.24,178.31,Cash,Store_A,Category_B,IXERX,LYNZO
DDXSIA,FCJLV,CUCYXFPNXBOOYZVNTOTC,562,01/19/2023 13:06,51.69,,Netherlands,0.38,200.16,Cash,Store_C,Category_A,GLDGN,MKBSC
FHWHBE,ILHRX,SDYBUSUCHCMVAXNSRHBZ,894,08/23/2023 06:55,44.25,17040.0,United Kingdom,0.07,273.3,Credit Card,Store_A,Category_B,TBTIF,JOATI
,,YHDYJJTOZIWXKFLESDDH,896,06/18/2023 11:59,48.3,,Belgium,0.23,467.93,Cash,Store_A,Category_C,,AFQMT
LKNAAO,DDDCZ,ENAUBLNKEDVJKFSUFJFV,140,12/25/2023 16:07,31.56,,Netherlands,0.46,312.58,Online,Store_A,Category_C,RBTBZ,UTHUO
VGGMTS,ODGNV,ULJKUAYUMAJBUZWRHGIM,640,11/26/2023 20:28,84.99,,United Kingdom,0.45,152.69,Credit Card,Store_A,Category_C,ABSDK,VEFAF
GEVCWK,UWSQY,MBQPGARECIJPJQJNCYTB,530,10/28/2023 20:01,79.08,10292.0,Belgium,0.24,42.1,Cash,Store_C,Category_B,EDRIT,RDRLL
ZRQMVA,JQLZW,YODIXLXPIKHMAKZSVKYE,81,02/21/2023 12:58,42.41,16800.0,France,0.4,99.83,Cash,Store_A,Category_C,WDGTI,XRUYP
RSXUDB,IWGDR,ZKBQTSYMCIVHVZRYZESU,959,04/15/2023 05:51,43.41,18574.0,France,0.34,232.24,Cash,Store_B,Category_A,JEBAC,YKFQH
VOILXD,,UKCEDPIEJSCCUOVZSRXL,437,04/14/2023 16:31,45.14,14672.0,France,0.5,8.76,Cash,Store_C,Category_B,TJRGC,AMXIA
PWMIFW,VLTEK,BBLWYXIQOOWZIGCUXNEH,359,11/13/2023 10:56,92.73,15577.0,France,0.13,205.29,Credit Card,Store_C,Category_C,,BUBYG
YZDMWE,DZPNQ,AELWJNCIPFBGKSRLAEET,113,11/20/2023 20:32,72.98,18073.0,Netherlands,0.29,53.38,Credit Card,Store_C,Category_A,GEMDL,NLPGP
HMMVZL,GPLFB,AYCQODPQJOLTJKJHMFES,296,07/18/2023 02:25,12.85,14579.0,United Kingdom,0.11,414.53,Online,Store_B,Category_C,FOGDF,ERJWC
EYDKHL,USTQI,TWUUGJRGQLUSNMDWNNUO,569,04/04/2023 01:23,97.68,19835.0,United Kingdom,0.43,371.29,Cash,Store_A,Category_A,,QHZWR
WQMLQQ,VUJYC,JVGLRUBRDGDZUCPNNEJV,137,11/17/2023 00:33,92.57,,France,0.25,265.66,Credit Card,Store_A,Category_B,MWXRS,OKXQP
EQKXUF,IAPHK,IHOACLKJSOJSLDKSRYQP,482,02/26/2023 07:05,17.07,16844.0,Belgium,0.46,190.01,Credit Card,Store_C,Category_B,ELQRG,IKALR
,BCQPR,,253,02/07/2023 13:14,63.34,16436.0,Germany,0.03,163.97,Online,Store_A,Category_B,FFVLK,ALADS
IRYHAW,BGBOR,YQMQHPHMSZMMXCDGPQEW,56,10/04/2023 21:30,50.07,16341.0,France,0.16,356.28,Credit Card,Store_A,Category_B,OWDHJ,ITQZK
OYCJHW,NHCQZ,STMHDLFZQHKUAWGVGFVU,216,07/13/2023 12:03,5.65,19139.0,Germany,0.37,129.3,Cash,Store_B,Category_C,KIOIW,EZKSK
KDLSDU,,COJJKQONNLQZQSOXEWTJ,473,11/17/2023 01:25,50.97,12672.0,Germany,0.48,82.73,Cash,Store_C,Category_C,HALRQ,ZFXWV
EUAWNT,PBDDG,,996,01/11/2023 09:44,72.46,,Germany,0.2,88.32,Cash,Store_B,Category_B,BANDS,WHVDH
,,UQXEKKEEGCJNTFHFLALV,27,05/17/2023 07:55,42.52,14714.0,Netherlands,0.5,104.34,Online,Store_A,Category_B,ZBANL,COJLL
QMIABG,XKCSU,VDZRMRXEFCGVNLUEHGTO,249,11/26/2023 15:09,452.42,17574.0,Belgium,0.31,337.0,Credit Card,Store_A,Category_A,BMFUV,LLUOC
JFMPQD,IFTSG,,153,04/14/2023 16:11,46.88,16642.0,Germany,0.43,76.52,Credit Card,Store_C,Category_B,AAPUG,MBQHZ
BBYHSD,JSYEM,EUCQJSXTIRPANOMKOHWK,182,05/07/2023 23:02,72.27,16932.0,France,0.42,206.36,Online,Store_B,Category_C,FQTVR,UFSPC
COQYOV,AKQPW,WERXKNOLFMJZYQBPKIKM,386,05/25/2023 18:20,78.37,14893.0,Netherlands,0.1,75.31,Cash,Store_A,Category_C,,
DGANGK,UKLMB,EANROPCJJEDRQIJXUGBW,125,01/14/2023 19:34,86.07,16433.0,France,0.15,268.81,Credit Card,Store_B,Category_C,BKNBP,UVKDJ
CGBOCK,QWTHR,,334,07/23/2023 01:14,27.39,16937.0,Netherlands,0.31,103.0,Credit Card,Store_B,Category_B,YCHAV,RLYLS
AYCWMV,OBIEJ,JKQAFYZLDEIJJDQRFVWZ,438,12/25/2023 14:41,91.1,17939.0,United Kingdom,0.09,45.53,Credit Card,Store_A,Category_A,MTNTU,RZUJL
CUPPXJ,DTNMD,TZHTNMVOUUOYBSHAYSOG,760,11/24/2023 23:59,20.09,16093.0,Netherlands,0.1,436.74,Credit Card,Store_A,Category_C,JJGFG,GYQMB
VPXCUN,XHWIQ,WXDYJEJPAAOIRLTYWWXF,907,02/27/2023 05:08,72.0,19490.0,France,0.12,137.86,Cash,Store_C,Category_A,KCZUH,
HDRMLU,ISDRN,IOMRXHBNBDMTRBVXQAWG,525,05/21/2023 23:43,20.59,16635.0,Netherlands,0.18,397.81,Cash,Store_B,Category_A,JCJBU,DBUHO
CRCJSW,VARMW,RBRMKPVUYIARIWKRRIYC,480,08/12/2023 11:17,70.39,11462.0,Germany,0.28,363.95,Credit Card,Store_B,Category_A,GNPUD,KDOBG
IBPSGU,AXIFQ,FDXQGKVZFBZLPZJMIUNO,594,09/05/2023 22:25,64.41,11671.0,Germany,0.41,83.35,Online,Store_A,Category_B,,
TERDGG,KKEUG,JOSADZHMJIJBJADUNURZ,160,05/02/2023 20:40,82.82,11845.0,Belgium,0.07,436.54,Online,Store_B,Category_C,VGCAF,EZGLL
DSHGPD,HBOJZ,EKCNPIRPYKCUNCMAZTOR,1515,09/27/2023 09:05,87.57,11861.0,France,0.36,313.16,Cash,Store_B,Category_C,XZJCQ,AAMWJ
IJWVOF,CAGJH,ANIHQMSPRSZBHPPTYDLG,10,07/07/2023 15:12,38.86,14023.0,Germany,0.05,119.79,Credit Card,Store_A,Category_C,VOYLI,FEPSW
EJRKVX,AXZJV,CNREKUYTPRWKBOHIHRDW,398,02/22/2023 03:41,63.44,18238.0,Belgium,0.21,336.08,Online,Store_B,Category_B,EJOOX,BZWIF
DZMWZQ,,BFUNYVDVYJQBNQAOMSJT,4688,12/18/2023 10:59,62.18,11760.0,United Kingdom,0.45,100.15,Cash,Store_B,Category_A,QWSFJ,
YZJDHU,TLCRW,IRRCHHCYAQUVWWLLLBII,894,07/26/2023 20:16,80.97,13802.0,United Kingdom,0.32,301.03,Cash,Store_B,Category_C,FAPEX,ELMXF
NAFZSN,LXWYL,,2895,05/23/2023 18:43,24.17,11574.0,United Kingdom,0.19,206.52,Cash,Store_B,Category_A,XOXRR,EWMVG
LAOGOK,TUWUL,FDOBFBWRATBALAQFLVED,587,06/30/2023 12:46,68.05,16066.0,Belgium,0.34,280.99,Credit Card,Store_B,Category_A,GKXZO,MJIJG
LCTGYK,JPJDP,WNWQLOLITILEWHSKIZBU,2582,01/14/2023 18:41,4.98,,Germany,0.44,402.4,Credit Card,Store_A,Category_B,SGQGK,LWDYF
GMKLTU,LLMZW,ZUKRUKEEFHMLVZRUAFET,512,01/21/2023 12:02,23.28,14719.0,Belgium,0.21,404.49,Online,Store_C,Category_A,WZANF,NNVWC
,GHVCF,CDZDBWKLCZXCNQXKKLCW,748,06/01/2023 00:47,29.81,12027.0,France,0.16,33.61,Credit Card,Store_B,Category_B,JPIAV,
YPGCCG,,KLWUNZYRGLDFYOFZILQR,662,12/29/2023 05:17,2.47,18424.0,Germany,0.02,146.59,Credit Card,Store_B,Category_A,HSOYY,MRWSX
RYUGBL,MDYPJ,TUJXKTYGETGENCXFVQFD,982,12/20/2023 11:05,83.02,14326.0,Belgium,0.39,16.64,Cash,Store_C,Category_A,DFDKK,CHGKO
FNDYYT,QDPTG,IPVKEZUTKOTSCCEKTFOK,611,09/02/2023 23:26,83.27,19907.0,Germany,0.3,441.58,Credit Card,Store_B,Category_C,ADMEB,MEZTR
XQNAJD,CIMQX,SQPBJWVBCNXYAZAVNOIS,645,01/03/2023 15:43,47.97,19547.0,United Kingdom,0.49,316.14,Cash,Store_A,Category_C,JJHVG,VKMOL
LQVXHI,URBFU,CPDWKRLQGEGXWLIYFKVQ,427,02/11/2023 18:12,94.34,19260.0,France,0.39,374.19,Cash,Store_C,Category_B,KMUPB,UKZDT
,ZKVMD,MQDBHBGOAWUOIXGWKFCM,551,05/05/2023 22:30,50.96,19860.0,France,0.22,147.56,Cash,Store_A,Category_C,BWDZR,BFZRS
HACDIK,,TCGAHKGGKPSJNTVXVALR,257,06/24/2023 17:46,69.32,12398.0,Germany,0.24,424.49,Online,Store_B,Category_A,PODFF,GENUV
,EYMNL,DSTNLVPQBVJYSQMZKLUW,135,05/14/2023 21:08,12.47,,Belgium,0.06,399.28,Online,Store_C,Category_C,WVIRJ,JNBRN
EBHKCC,LXCKB,XWUPRHEHZHLTLTVUDDWM,949,09/12/2023 17:27,44.96,17746.0,Netherlands,0.0,77.69,Cash,Store_A,Category_C,BGGRX,IESTB
PZTXZR,ZKUTX,IHVHPWNFRUACOHKMGXCR,158,08/20/2023 11:06,41.14,12496.0,Belgium,0.13,321.66,Online,Store_B,Category_A,,BXZEN
FXQNES,LQLIN,,669,08/30/2023 15:54,45.97,15040.0,Belgium,0.07,397.69,Credit Card,Store_B,Category_C,OCKOI,UQGIH
OJOZIH,SLNFH,BKJXXQELKVEVDQVAUZME,551,06/18/2023 08:48,94.03,10109.0,United Kingdom,0.35,442.54,Cash,Store_C,Category_A,DGXNJ,PRFKQ
HGVNVO,LHVAR,,134,03/10/2023 08:05,32.75,15848.0,Belgium,0.36,315.58,Credit Card,Store_B,Category_C,HXMZS,VBADW
,TVGML,CJUIBOBWDYNLGRCSJUBU,710,03/19/2023 07:49,10.92,13072.0,Belgium,0.2,269.26,Credit Card,Store_A,Category_A,DTNNN,HSJTD
